yard.code,sum.basal.area.m2,sampled.area.ha,density,presence.of.hedge 
Y1,0.110852143,0.021,5.278673476,yes
Y13,0.091693093,0.036,2.547030361,yes
Y15,1.096428611,0.026,42.17033119,yes
Y24,1.21273398,0.027,44.91607333,yes
Y29,0.293705042,0.042,6.99297719,yes
Y32,0.119019516,0.023,5.174761565,yes
Y33,1.905632513,0.036,52.93423647,yes
Y40,1.289921325,0.035,36.854895,yes
Y46,2.357481774,0.07,33.67831106,yes
Y47,0.179839322,0.018,9.991073444,yes
Y5,0.627442707,0.026,24.13241181,yes
Y6,0.02974624,0.035,0.849892571,yes
Y60,1.269229962,0.019,66.80157695,yes
Y61,0.078917777,0.025,3.15671108,yes
Y63,0.192364095,0.01,19.2364095,yes
Y65,0.775539303,0.016,48.47120644,yes
Y67,1.486646745,0.014,106.1890532,yes
Y71,0.640015391,0.037,17.29771327,yes
Y74,0.270893099,0.022,12.31332268,yes
Y8,0.159011299,0.016,9.938206188,yes
Y80,0.280495401,0.022,12.74979095,yes
Y81,1.956501299,0.033,59.28791815,yes
Y83,0.274535,0.039,7.039358974,yes
Y84,0.131450828,0.013,10.11160215,yes
Y91,0.071158025,0.039,1.824564744,yes
Y10,0.129338887,0.034,3.804084912,no
Y14,0.06605214,0.012,5.504345,no
Y17,0.512951024,0.045,11.39891164,no
Y2,0.237706807,0.034,6.991376676,no
Y26,0.265067003,0.014,18.93335736,no
Y30,0.024052875,0.028,0.85903125,no
Y31,0.381065084,0.021,18.14595638,no
Y4,0.217945358,0.025,8.71781432,no
Y44,0.846266143,0.018,47.01478572,no
Y48,0.644137171,0.017,37.89042182,no
Y49,0.340049926,0.007,48.57856086,no
Y50,1.237559492,0.018,68.75330511,no
Y58,0.943769626,0.016,58.98560163,no
Y62,2.275258246,0.021,108.3456308,no
Y66,0.967337125,0.023,42.05813587,no
Y68,0.081041499,0.015,5.4027666,no
Y69,1.053013271,0.02,52.65066355,no
Y70,0.017203402,0.015,1.146893467,no
Y72,0.10259366,0.015,6.839577333,no
Y75,0.313333758,0.035,8.952393086,no
Y77,0.16738759,0.013,12.87596846,no
Y79,0.851252648,0.035,24.32150423,no
Y87,0.379367835,0.011,34.487985,no
Y9,0.159623124,0.013,12.27870185,no
Y90,0.039267643,0.014,2.804831643,no
